location,latitude,longitude,magnitude,depth,day,hour,minute,sec
CAVUSLU-DOGANSEHIR (MALATYA),38.1628,37.773,3.4, 5.0 km,9,5,29,30
DENIZLI-PAZARCIK (KAHRAMANMARAS),37.4278,37.1023,3, 5.0 km,9,5,20,53
ELMALI-GOKSUN (KAHRAMANMARAS),37.9908,36.6098,3.2, 8.6 km,9,5,8,19
ASLANBEYCIFTLIGI-GOKSUN (KAHRAMANMARAS),38.0005,36.5458,3.5, 5.0 km,9,5,2,12
KARABAHSILI-GOLBASI (ADIYAMAN),37.898,37.7098,4.4, 5.0 km,9,4,44,17
KALEDIBI-HANI (DIYARBAKIR),38.5078,40.3828,4.3, 2.5 km,9,4,38,13
HACIMIRZA-GOKSUN (KAHRAMANMARAS),38.0485,36.519,3.6, 5.2 km,9,4,21,44
NURHAK (KAHRAMANMARAS),37.9945,37.471,3,26.2 km,9,4,14,18
ORTATEPE-GOKSUN (KAHRAMANMARAS),38.046,36.5338,3.2, 4.9 km,9,4,8,46
KADIRUSAGI-YESILYURT (MALATYA),38.2265,38.2242,3, 6.4 km,9,4,6,43
ZEYNELLI-YAYLADERE (BINGOL),39.217,40.2155,3.4, 8.5 km,9,3,59,35
SATIROBASI-DOGANSEHIR (MALATYA),38.1132,37.9457,3.5, 6.4 km,9,3,51,27
GULOVA-KUMLU (HATAY),36.3815,36.3,3.2,10.3 km,9,3,36,33
KAVAK-(ADIYAMAN),37.9742,38.1927,3.2, 5.5 km,9,3,35,3
ALINCIK-SIVRICE (ELAZIG),38.4535,39.213,4, 6.1 km,9,3,32,14
GUZELKOY-ISKENDERUN (HATAY),36.5732,36.2465,3.7,10.0 km,9,3,18,2
GULDEREN-(HATAY),36.3137,36.093,3.6, 5.4 km,9,3,8,51
DEDELER-TURKOGLU (KAHRAMANMARAS),37.2348,36.7288,3.1, 5.0 km,9,3,0,49
IKIZKUYU-NURDAGI (GAZIANTEP),37.1603,36.97,3.1,11.8 km,9,2,58,40
AGCASAR-NURHAK (KAHRAMANMARAS),38.0745,37.3222,3, 5.0 km,9,2,53,39
GUVENC-HASSA (HATAY),36.7083,36.3862,3.7, 5.0 km,9,2,47,8
KALEDIBI-HANI (DIYARBAKIR),38.5405,40.3822,3.8,10.6 km,9,2,39,59
ELMALI-GOKSUN (KAHRAMANMARAS),37.9898,36.6322,3.4, 5.0 km,9,2,20,55
CAMDERE-GOKSUN (KAHRAMANMARAS),38.1165,36.574,3.4, 5.0 km,9,2,1,28
ACIELMA-GOKSUN (KAHRAMANMARAS),38.0355,36.422,3.1, 5.0 km,9,1,48,2
KAYACIK-KULP (DIYARBAKIR),38.5602,41.1413,3.1,16.5 km,9,1,41,43
KARAPINAR-AKCADAG (MALATYA),38.302,38.053,4, 5.0 km,9,1,36,49
YUVALI-DOGANSEHIR (MALATYA),38.1878,37.9433,3, 5.4 km,9,1,16,9
HACIMIRZA-GOKSUN (KAHRAMANMARAS),38.0402,36.5257,3.1, 9.8 km,9,1,8,31
KIRISKAL-NURDAGI (GAZIANTEP),37.2403,36.832,3.6, 9.5 km,9,1,6,3
YESILYURT-ANDIRIN (KAHRAMANMARAS),37.5963,36.3263,3, 7.7 km,9,0,45,26
CAKALLICULLU-TURKOGLU (KAHRAMANMARAS),37.4318,36.8803,3, 6.0 km,9,0,38,57
CICEKALANI-PAZARCIK (KAHRAMANMARAS),37.5275,37.2425,3.2, 5.3 km,9,0,35,54
POLATDERESI-DOGANSEHIR (MALATYA),38.1557,37.903,3.4, 3.6 km,9,0,15,7
TURKBAHCE-ISLAHIYE (GAZIANTEP),37.0813,36.6087,3, 7.4 km,9,0,11,29
